TimeBlock,AveragePackets,AveragePacketsperDevice,AverageConnections,AverageConnectionsperDevice,AverageThroughputperDevice,MaxThroughputperDevice,ActiveDevices(IP),ConnectedDevices(MAC),AveragePacketSize,ActiveConnections,RatioTIME_WAIT/ESTABLISHED,MaxTCPConnections,MaxUDPConnections,TimeSinceLastTCPConnection,TimeSinceLastUDPConnection,AverageTCPSessionDuration,AverageUDPSessionDuration,TimeSinceLastPacket,DeviceScreenState
12,6.366666667,6.366666667,0.066666667,0.066666667,841.5666667,841.5666667,1,1,4.406108202,2,0,0,0,465,480,14100,0,105,0
12,6.366666667,6.366666667,0.066666667,0.066666667,841.5666667,841.5666667,1,1,4.406108202,2,0,0,0,480,495,14130,0,120,0
12,6.366666667,6.366666667,0.066666667,0.066666667,841.5666667,841.5666667,1,1,4.406108202,2,0,0,0,495,510,14160,0,135,0
12,6.366666667,6.366666667,0.066666667,0.066666667,841.5666667,841.5666667,1,1,4.406108202,2,0,0,0,510,525,14190,0,150,0
12,6.366666667,6.366666667,0.066666667,0.066666667,841.5666667,841.5666667,1,1,4.406108202,2,0,0,0,525,540,14220,0,165,0
12,6.366666667,6.366666667,0.066666667,0.066666667,841.5666667,841.5666667,1,1,4.406108202,2,0,0,0,540,555,14250,0,180,0
12,6.366666667,6.366666667,0.066666667,0.066666667,841.5666667,841.5666667,1,1,4.406108202,2,0,0,0,555,570,14280,0,195,0
12,6.366666667,6.366666667,0.066666667,0.066666667,841.5666667,841.5666667,1,1,4.406108202,2,0,0,0,570,585,14310,0,210,0
12,6.366666667,6.366666667,0.066666667,0.066666667,841.5666667,841.5666667,1,1,4.406108202,2,0,0,0,585,600,14340,0,225,0
12,6.5,6.5,0.066666667,0.066666667,850.2333333,850.2333333,1,1,4.36017094,2,0,0,0,600,615,14370,0,15,0
12,6.5,6.5,0.066666667,0.066666667,850.2333333,850.2333333,1,1,4.36017094,2,0,0,0,615,630,14400,0,30,0
12,6.5,6.5,0.066666667,0.066666667,850.2333333,850.2333333,1,1,4.36017094,2,0,0,0,630,645,14430,0,45,0
