Time Block,Average Packets,Average Packets per Device,Average Connections,Average Connections per Device,Average Throughput per Device,Max Throughput per Device,Active Devices (IP),Connected Devices (MAC),Average Packet Size,Active Connections,Ratio TIME_WAIT/ESTABLISHED,Max TCP Connections,Max UDP Connections,Time Since Last TCP Connection,Time Since Last UDP Connection,Average TCP Session Duration,Average UDP Session Duration,Time Since Last Packet,Device Screen State
3,49.5,49.5,0.1333333333333333,0.1333333333333333,18938.733333333334,18938.733333333334,1,1,12.753355780022446,4,0.0,0,0,270.0,30.0,19275.0,1890.0,15.0,1
3,51.7,51.7,0.3,0.3,19639.4,19639.4,1,1,12.662411347517727,9,0.0,0,5,285.0,0.0,19305.0,4392.857142857143,15.0,1
3,51.03333333333333,51.03333333333333,0.1333333333333333,0.1333333333333333,19606.166666666668,19606.166666666668,1,1,12.806118005660789,4,0.0,0,0,300.0,15.0,19335.0,2691.0,15.0,1
3,51.6,51.6,0.1333333333333333,0.1333333333333333,19846.666666666668,19846.666666666668,1,1,12.820844099913868,4,0.0,0,0,315.0,30.0,19365.0,1980.0,15.0,1
3,52.16666666666666,52.16666666666666,0.1333333333333333,0.1333333333333333,20079.566666666666,20079.566666666666,1,1,12.830394036208732,4,0.0,0,0,330.0,45.0,19395.0,2010.0,15.0,1
3,53.8,53.8,0.2666666666666666,0.2666666666666666,20484.7,20484.7,1,1,12.691883519206938,8,0.0,0,4,345.0,0.0,19425.0,5240.0,15.0,1
3,56.93333333333333,56.93333333333333,0.2666666666666666,0.2666666666666666,22580.7,22580.7,1,1,13.220550351288058,8,0.0,2,2,0.0,0.0,9742.5,3420.0,15.0,1
3,54.9,54.9,0.2,0.2,21236.366666666665,21236.366666666665,1,1,12.893968832220198,6,0.0,0,0,15.0,15.0,9772.5,15.0,15.0,1
3,55.46666666666667,55.46666666666667,0.2,0.2,21476.2,21476.2,1,1,12.906370192307692,6,0.0,0,0,30.0,30.0,9802.5,2130.0,15.0,1
3,57.16666666666666,57.16666666666666,0.3333333333333333,0.3333333333333333,21885.766666666663,21885.766666666663,1,1,12.761379980563651,10,0.0,0,4,45.0,0.0,9832.5,5360.0,15.0,1
3,56.6,56.6,0.2,0.2,21948.7,21948.7,1,1,12.926207302709068,6,0.0,0,0,60.0,15.0,9862.5,3480.0,15.0,1
3,58.1,58.1,0.2333333333333333,0.2333333333333333,22577.3,22577.3,1,1,12.95312679288583,7,0.0,0,1,75.0,0.0,9892.5,1490.0,15.0,1
3,57.9,57.9,0.2,0.2,22431.9,22431.9,1,1,12.914162348877374,6,0.0,0,0,90.0,15.0,9922.5,15.0,15.0,1
3,59.46666666666667,59.46666666666667,0.3333333333333333,0.3333333333333333,22835.766666666663,22835.766666666663,1,1,12.800317638266067,10,0.0,0,4,105.0,0.0,9952.5,5480.0,15.0,1
3,57.93333333333333,57.93333333333333,0.1333333333333333,0.1333333333333333,22454.6,22454.6,1,1,12.919792865362488,4,0.25,0,0,120.0,15.0,120.0,3540.0,15.0,1
3,58.5,58.5,0.1333333333333333,0.1333333333333333,22689.7,22689.7,1,1,12.928603988603989,4,0.25,0,0,135.0,30.0,19725.0,2340.0,15.0,1
