TimeBlock,AveragePackets,AveragePacketsperDevice,AverageConnections,AverageConnectionsperDevice,AverageThroughputperDevice,MaxThroughputperDevice,ActiveDevicesIP,ConnectedDevicesMAC,AveragePacketSize,ActiveConnections,RatioTIME_WAIT/ESTABLISHED,MaxTCPConnections,MaxUDPConnections,TimeSinceLastTCPConnection,TimeSinceLastUDPConnection,AverageTCPSessionDuration,AverageUDPSessionDuration,TimeSinceLastPacket,DeviceScreenState
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1545.0,1275.0,37845.0,0.0,15.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1560.0,1290.0,81932.30769230769,0.0,30.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1575.0,1305.0,81962.30769230769,0.0,45.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1590.0,1320.0,81992.30769230769,0.0,60.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1605.0,1335.0,82022.30769230769,0.0,75.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1620.0,1350.0,82052.30769230769,0.0,90.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1635.0,1365.0,82082.30769230769,0.0,105.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1650.0,1380.0,82112.30769230769,0.0,120.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1665.0,1395.0,82142.30769230769,0.0,135.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1680.0,1410.0,82172.30769230769,0.0,150.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1695.0,1425.0,82202.30769230769,0.0,165.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1710.0,1440.0,82232.30769230769,0.0,180.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1725.0,1455.0,82262.30769230769,0.0,195.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1740.0,1470.0,82292.30769230769,0.0,210.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1755.0,1485.0,82322.30769230769,0.0,225.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1770.0,1500.0,82352.30769230769,0.0,240.0,0
5,23.73333333333333,4.746666666666667,0.1,0.02,1418.8733333333334,7094.366666666667,5,0,9.963998127340824,13,0.0,0,0,1785.0,1515.0,82382.30769230769,0.0,255.0,0
